Book,DMC,Type,EMODBuild,IssueNumber,IssueYear,IssueMonth,IssueDay
AMM,DMC-1KC46-A-06-24-0000-02A0A-911A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-06-24-0000-02A0A-911A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-06-30-0000-10A0A-900A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-06-30-0000-10A0A-900A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-06-30-0000-11A0A-900A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-06-30-0000-11A0A-900A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-20-10-0900-07A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-20-10-0900-07A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-20-10-2700-02A0A-720A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-20-10-2700-02A0A-720A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-21-21-0000-02A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-21-21-0000-02A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-21-21-1000-02A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-21-21-1000-02A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-21-33-0000-01A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-21-33-0000-01A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-22-12-0000-01A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-22-12-0000-01A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-23-25-3100-02A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-23-25-3100-02A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-24-1600-06A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-24-1600-06A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-25-0300-03A0A-280A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-25-0300-03A0A-280A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-31-0000-05A0A-300A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-31-0000-05A0A-300A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-52-1000-03A0A-685A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-52-1000-03A0A-685A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-52-1000-04A0A-685A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-52-1000-04A0A-685A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-61-0300-03A0A-720A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-61-0300-03A0A-720A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-61-0300-04A0A-720A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-61-0300-04A0A-720A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-65-1500-04A0A-920A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-65-1500-04A0A-920A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-65-1500-06A0A-920A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-65-1500-06A0A-920A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-91-0500-02A0A-310A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-91-0500-02A0A-310A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-27-00-0100-03A0A-300A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-27-00-0100-03A0A-300A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-28-11-0000-12A0A-685A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-28-11-0000-12A0A-685A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-28-25-0000-02A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-28-25-0000-02A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-32-11-1300-03A0A-280A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-32-11-1300-03A0A-280A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-32-21-1100-04A0A-361A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-32-21-1100-04A0A-361A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-35-31-0100-05A0A-300A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-35-31-0100-05A0A-300A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-47-32-0000-01A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-47-32-0000-01A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-49-11-0000-06A0A-020A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-49-11-0000-06A0A-020A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-51-00-6100-03A0A-280A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-51-00-6100-03A0A-280A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-51-21-0400-03A0A-685A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-51-21-0400-03A0A-685A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-51-31-0100-03A0A-258A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-51-31-0100-03A0A-258A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-52-09-0200-06A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-52-09-0200-06A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-52-48-1700-04A0A-020A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-52-48-1700-04A0A-020A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-52-48-1700-05A0A-020A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-52-48-1700-05A0A-020A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-56-21-0000-01A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-56-21-0000-01A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-N70-24-0500-03A0A-720A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-N70-24-0500-03A0A-720A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-N71-11-0000-03A0A-270A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-N71-11-0000-03A0A-270A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
